year,player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
2020,Brian Bowen,SG,21,IND,4,14,8.0,.400,.200,.000,0.0,23.5,11.8,0.0,0.0,6.3,0.0,15.7,,0.0,0.0,0.0,-0.009,,-4.7,1.4,-3.3,0.0
2020,Ky Bowman,PG,22,GSW,44,991,9.1,.486,.333,.130,2.5,10.5,6.4,19.8,2.1,0.9,17.2,17.3,,-0.7,0.6,-0.1,-0.005,,-4.1,-0.3,-4.5,-0.6
2020,Avery Bradley,SG,29,LAL,44,1032,8.8,.537,.423,.060,1.8,8.6,5.3,6.8,1.7,0.3,10.7,15.6,,0.2,1.2,1.4,.063,,-3.1,0.3,-2.8,-0.2
2020,Tony Bradley,C,22,UTA,45,464,20.7,.659,.007,.281,19.7,24.5,22.2,4.3,1.0,3.2,12.7,16.4,,1.5,0.7,2.2,.226,,0.3,0.1,0.4,0.3
2020,Jarrell Brantley,PF,23,UTA,3,11,9.4,,,,0.0,47.5,24.8,10.9,0.0,15.1,100.0,4.0,,0.0,0.0,0.0,.060,,-4.0,7.9,4.0,0.0
2020,Ignas Brazdeikis,SF,21,NYK,9,53,3.3,.351,.409,.227,3.9,6.2,5.0,10.7,0.0,1.8,7.6,21.0,,-0.1,0.0,-0.1,-0.109,,-5.1,-3.9,-9.0,-0.1
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Mikal Bridges,SF,23,PHO,61,1611,13.0,.615,.386,.266,3.6,12.9,8.1,8.9,2.7,2.0,12.0,12.3,,2.0,1.9,3.9,.115,,-0.8,1.9,1.1,1.3
2020,Miles Bridges,SF,21,CHO,59,1812,12.7,.535,.399,.170,4.7,15.2,9.7,9.3,1.0,2.2,10.7,19.8,,0.6,1.1,1.8,.047,,-1.1,-1.0,-2.1,-0.1
2020,Oshae Brissett,SF,21,TOR,19,135,6.7,.458,.417,.278,7.1,13.0,10.1,7.0,1.4,0.7,14.8,15.0,,-0.1,0.2,0.1,.045,,-5.6,0.3,-5.3,-0.1
